num,time,opt_type
           1 ,  8.0000609E-06, "No optimization"
           6 ,  6.9998205E-06, "No optimization"
          11 ,  1.1000084E-05, "No optimization"
          16 ,  1.3000099E-05, "No optimization"
          21 ,  2.3999950E-05, "No optimization"
          26 ,  3.2000011E-05, "No optimization"
          31 ,  5.9999991E-05, "No optimization"
          36 ,  7.6000113E-05, "No optimization"
          41 ,  9.2000002E-05, "No optimization"
          46 ,  1.4500017E-04, "No optimization"
          51 ,  1.6999990E-04, "No optimization"
          56 ,  2.0299992E-04, "No optimization"
          61 ,  3.1100027E-04, "No optimization"
          66 ,  3.7400005E-04, "No optimization"
          71 ,  5.6799967E-04, "No optimization"
          76 ,  6.5600034E-04, "No optimization"
          81 ,  6.6699972E-04, "No optimization"
          86 ,  1.1349996E-03, "No optimization"
          91 ,  5.8100000E-04, "No optimization"
          96 ,  6.4199977E-04, "No optimization"
         101 ,  8.4500015E-04, "No optimization"
         106 ,  9.1100018E-04, "No optimization"
         111 ,  9.8400004E-04, "No optimization"
         116 ,  1.0779994E-03, "No optimization"
         121 ,  1.1550002E-03, "No optimization"
         126 ,  1.3340004E-03, "No optimization"
         131 ,  1.2430009E-03, "No optimization"
         136 ,  1.2530014E-03, "No optimization"
         141 ,  1.4780015E-03, "No optimization"
         146 ,  1.5150011E-03, "No optimization"
         151 ,  1.7419998E-03, "No optimization"
         156 ,  1.9499995E-03, "No optimization"
         161 ,  1.9579995E-03, "No optimization"
         166 ,  2.2090003E-03, "No optimization"
         171 ,  2.5629997E-03, "No optimization"
         176 ,  2.5230013E-03, "No optimization"
         181 ,  2.7539991E-03, "No optimization"
         186 ,  2.9719993E-03, "No optimization"
         191 ,  3.3569969E-03, "No optimization"
         196 ,  3.7030019E-03, "No optimization"
         201 ,  4.3359995E-03, "No optimization"
         206 ,  4.3179989E-03, "No optimization"
         211 ,  4.5120008E-03, "No optimization"
         216 ,  4.5979992E-03, "No optimization"
         221 ,  5.1829964E-03, "No optimization"
         226 ,  5.5010021E-03, "No optimization"
         231 ,  6.0360059E-03, "No optimization"
         236 ,  6.2370002E-03, "No optimization"
         241 ,  6.7620054E-03, "No optimization"
         246 ,  7.1230009E-03, "No optimization"
         251 ,  7.6370016E-03, "No optimization"
         256 ,  7.8390092E-03, "No optimization"
         261 ,  8.4360093E-03, "No optimization"
         266 ,  9.0879947E-03, "No optimization"
         271 ,  9.3699992E-03, "No optimization"
         276 ,  1.0120004E-02, "No optimization"
         281 ,  1.0480002E-02, "No optimization"
         286 ,  1.1279002E-02, "No optimization"
         291 ,  1.1518002E-02, "No optimization"
         296 ,  1.1799008E-02, "No optimization"
         301 ,  1.2856007E-02, "No optimization"
         306 ,  1.3471007E-02, "No optimization"
         311 ,  1.4006004E-02, "No optimization"
         316 ,  1.4818013E-02, "No optimization"
         321 ,  1.5478998E-02, "No optimization"
         326 ,  1.5947998E-02, "No optimization"
         331 ,  1.6876996E-02, "No optimization"
         336 ,  1.7291993E-02, "No optimization"
         341 ,  1.7985016E-02, "No optimization"
         346 ,  1.8539995E-02, "No optimization"
         351 ,  2.0379990E-02, "No optimization"
         356 ,  2.0799011E-02, "No optimization"
         361 ,  2.1797001E-02, "No optimization"
         366 ,  2.2206008E-02, "No optimization"
         371 ,  2.5783032E-02, "No optimization"
         376 ,  2.3977995E-02, "No optimization"
         381 ,  2.5444031E-02, "No optimization"
         386 ,  2.6484966E-02, "No optimization"
         391 ,  2.8767049E-02, "No optimization"
         396 ,  2.8771043E-02, "No optimization"
         401 ,  3.5627007E-02, "No optimization"
         406 ,  3.1019032E-02, "No optimization"
         411 ,  3.1526983E-02, "No optimization"
         416 ,  3.2155037E-02, "No optimization"
         421 ,  3.4767985E-02, "No optimization"
         426 ,  3.4991026E-02, "No optimization"
         431 ,  3.9406002E-02, "No optimization"
         436 ,  4.0726006E-02, "No optimization"
         441 ,  3.8839996E-02, "No optimization"
         446 ,  4.1345954E-02, "No optimization"
         451 ,  6.5846920E-02, "No optimization"
         456 ,  7.6187968E-02, "No optimization"
         461 ,  5.1313043E-02, "No optimization"
         466 ,  4.6182036E-02, "No optimization"
         471 ,  4.7924042E-02, "No optimization"
         476 ,  4.8054934E-02, "No optimization"
         481 ,  5.0544024E-02, "No optimization"
         486 ,  5.2085996E-02, "No optimization"
         491 ,  5.5045962E-02, "No optimization"
         496 ,  5.8822036E-02, "No optimization"
         501 ,  6.0114980E-02, "No optimization"
         506 ,  6.1213970E-02, "No optimization"
         511 ,  6.4332008E-02, "No optimization"
         516 ,  6.5827012E-02, "No optimization"
         521 ,  6.8071961E-02, "No optimization"
         526 ,  8.9231968E-02, "No optimization"
         531 ,  9.6176147E-02, "No optimization"
         536 ,  9.4038963E-02, "No optimization"
         541 ,  9.7774029E-02, "No optimization"
         546 ,  0.1023891    , "No optimization"
         551 ,  0.1242790    , "No optimization"
         556 ,  9.0574026E-02, "No optimization"
         561 ,  0.1138570    , "No optimization"
         566 ,  9.5834970E-02, "No optimization"
         571 ,  0.1007071    , "No optimization"
         576 ,  9.0650082E-02, "No optimization"
         581 ,  9.9401951E-02, "No optimization"
         586 ,  0.1713080    , "No optimization"
         591 ,  0.1163721    , "No optimization"
         596 ,  0.1061831    , "No optimization"
         601 ,  0.1105061    , "No optimization"
         606 ,  0.1956151    , "No optimization"
         611 ,  0.2108948    , "No optimization"
         616 ,  0.1844101    , "No optimization"
         621 ,  0.1807094    , "No optimization"
         626 ,  0.2029629    , "No optimization"
         631 ,  0.1735959    , "No optimization"
         636 ,  0.1998792    , "No optimization"
         641 ,  0.1555133    , "No optimization"
         646 ,  0.1539102    , "No optimization"
         651 ,  0.1470580    , "No optimization"
         656 ,  0.1466470    , "No optimization"
         661 ,  0.1600900    , "No optimization"
         666 ,  0.1562386    , "No optimization"
         671 ,  0.1645651    , "No optimization"
         676 ,  0.1705313    , "No optimization"
         681 ,  0.1712213    , "No optimization"
         686 ,  0.1749907    , "No optimization"
         691 ,  0.1964097    , "No optimization"
         696 ,  0.2005191    , "No optimization"
         701 ,  0.2025108    , "No optimization"
         706 ,  0.1891861    , "No optimization"
         711 ,  0.2032247    , "No optimization"
         716 ,  0.2027130    , "No optimization"
         721 ,  0.2119269    , "No optimization"
         726 ,  0.2134075    , "No optimization"
         731 ,  0.2456589    , "No optimization"
         736 ,  0.2229185    , "No optimization"
         741 ,  0.2351494    , "No optimization"
         746 ,  0.2359686    , "No optimization"
         751 ,  0.2686892    , "No optimization"
         756 ,  0.2453156    , "No optimization"
         761 ,  0.2518272    , "No optimization"
         766 ,  0.2596025    , "No optimization"
         771 ,  0.2537756    , "No optimization"
         776 ,  0.2593555    , "No optimization"
         781 ,  0.2669802    , "No optimization"
         786 ,  0.2750149    , "No optimization"
         791 ,  0.2821455    , "No optimization"
         796 ,  0.3719559    , "No optimization"
         801 ,  0.2873402    , "No optimization"
         806 ,  0.2916946    , "No optimization"
         811 ,  0.3737249    , "No optimization"
         816 ,  0.3004770    , "No optimization"
         821 ,  0.3197889    , "No optimization"
         826 ,  0.3314486    , "No optimization"
         831 ,  0.3266621    , "No optimization"
         836 ,  0.3273211    , "No optimization"
         841 ,  0.3353586    , "No optimization"
         846 ,  0.3405209    , "No optimization"
         851 ,  0.3831434    , "No optimization"
         856 ,  0.3709555    , "No optimization"
         861 ,  0.3760700    , "No optimization"
         866 ,  0.3645172    , "No optimization"
         871 ,  0.3678627    , "No optimization"
         876 ,  0.3739834    , "No optimization"
         881 ,  0.3835716    , "No optimization"
         886 ,  0.3864346    , "No optimization"
         891 ,  0.4125481    , "No optimization"
         896 ,  0.3960686    , "No optimization"
         901 ,  0.4123573    , "No optimization"
         906 ,  0.4271622    , "No optimization"
         911 ,  0.4289131    , "No optimization"
         916 ,  0.4464092    , "No optimization"
         921 ,  0.4455566    , "No optimization"
         926 ,  0.4422646    , "No optimization"
         931 ,  0.4749069    , "No optimization"
         936 ,  0.5643082    , "No optimization"
         941 ,  0.5546875    , "No optimization"
         946 ,  0.5218983    , "No optimization"
         951 ,  0.7468719    , "No optimization"
         956 ,  0.8169899    , "No optimization"
         961 ,  0.8750801    , "No optimization"
         966 ,  0.8315544    , "No optimization"
         971 ,  0.9237671    , "No optimization"
         976 ,  0.8003731    , "No optimization"
         981 ,  0.8691082    , "No optimization"
         986 ,  0.7749271    , "No optimization"
         991 ,  0.8440323    , "No optimization"
         996 ,  0.8625870    , "No optimization"
        1001 ,  0.8203278    , "No optimization"
        1006 ,  0.6742859    , "No optimization"
        1011 ,  0.8126793    , "No optimization"
        1016 ,  0.6882820    , "No optimization"
        1021 ,  0.6544418    , "No optimization"
        1026 ,  0.6085815    , "No optimization"
        1031 ,  0.6255226    , "No optimization"
        1036 ,  0.8377686    , "No optimization"
        1041 ,  0.7026329    , "No optimization"
        1046 ,  0.6733665    , "No optimization"
        1051 ,  0.6840935    , "No optimization"
        1056 ,  0.6586876    , "No optimization"
        1061 ,  0.6813240    , "No optimization"
        1066 ,  0.6992874    , "No optimization"
        1071 ,  0.7564507    , "No optimization"
        1076 ,  0.8023224    , "No optimization"
        1081 ,  0.7551308    , "No optimization"
        1086 ,  0.7371635    , "No optimization"
        1091 ,  0.7677841    , "No optimization"
        1096 ,  0.7340317    , "No optimization"
        1101 ,  0.7645912    , "No optimization"
        1106 ,  0.9521255    , "No optimization"
        1111 ,   1.103798    , "No optimization"
        1116 ,   1.016918    , "No optimization"
        1121 ,   1.192112    , "No optimization"
        1126 ,   1.150562    , "No optimization"
        1131 ,   1.288826    , "No optimization"
        1136 ,   1.134739    , "No optimization"
        1141 ,   1.297192    , "No optimization"
        1146 ,   1.289516    , "No optimization"
        1151 ,  0.9338760    , "No optimization"
        1156 ,  0.9357262    , "No optimization"
        1161 ,  0.9274101    , "No optimization"
        1166 ,   1.133114    , "No optimization"
        1171 ,  0.9378281    , "No optimization"
        1176 ,  0.9031982    , "No optimization"
        1181 ,   1.060417    , "No optimization"
        1186 ,   1.129387    , "No optimization"
        1191 ,   1.450050    , "No optimization"
        1196 ,   1.348022    , "No optimization"
        1201 ,   1.347519    , "No optimization"
        1206 ,   1.534981    , "No optimization"
        1211 ,   1.589203    , "No optimization"
        1216 ,   1.216866    , "No optimization"
        1221 ,   1.095901    , "No optimization"
        1226 ,   1.492371    , "No optimization"
        1231 ,   1.517937    , "No optimization"
        1236 ,   1.286346    , "No optimization"
        1241 ,   1.113419    , "No optimization"
        1246 ,   1.256966    , "No optimization"
        1251 ,   1.328064    , "No optimization"
        1256 ,   1.118629    , "No optimization"
        1261 ,   1.645210    , "No optimization"
        1266 ,   1.268822    , "No optimization"
        1271 ,   1.318520    , "No optimization"
        1276 ,   1.468178    , "No optimization"
        1281 ,   1.874718    , "No optimization"
        1286 ,   1.683899    , "No optimization"
        1291 ,   1.268761    , "No optimization"
        1296 ,   1.246017    , "No optimization"
           1 ,  5.0000381E-06, "Dot product optimization"
           6 ,  5.9998129E-06, "Dot product optimization"
          11 ,  9.9998433E-06, "Dot product optimization"
          16 ,  1.3000099E-05, "Dot product optimization"
          21 ,  2.9999996E-05, "Dot product optimization"
          26 ,  4.3000095E-05, "Dot product optimization"
          31 ,  7.6000113E-05, "Dot product optimization"
          36 ,  9.9999830E-05, "Dot product optimization"
          41 ,  1.5300000E-04, "Dot product optimization"
          46 ,  2.2700010E-04, "Dot product optimization"
          51 ,  2.5899988E-04, "Dot product optimization"
          56 ,  2.8000004E-04, "Dot product optimization"
          61 ,  3.9099995E-04, "Dot product optimization"
          66 ,  4.9899984E-04, "Dot product optimization"
          71 ,  6.7699980E-04, "Dot product optimization"
          76 ,  7.3199999E-04, "Dot product optimization"
          81 ,  9.1800001E-04, "Dot product optimization"
          86 ,  1.0400000E-03, "Dot product optimization"
          91 ,  8.9500006E-04, "Dot product optimization"
          96 ,  8.7600015E-04, "Dot product optimization"
         101 ,  1.1030007E-03, "Dot product optimization"
         106 ,  1.0039993E-03, "Dot product optimization"
         111 ,  1.0150000E-03, "Dot product optimization"
         116 ,  1.6540000E-03, "Dot product optimization"
         121 ,  1.3769995E-03, "Dot product optimization"
         126 ,  1.5350003E-03, "Dot product optimization"
         131 ,  1.5459992E-03, "Dot product optimization"
         136 ,  1.6040001E-03, "Dot product optimization"
         141 ,  1.7799996E-03, "Dot product optimization"
         146 ,  1.9470006E-03, "Dot product optimization"
         151 ,  2.2459999E-03, "Dot product optimization"
         156 ,  3.4899991E-03, "Dot product optimization"
         161 ,  3.9879978E-03, "Dot product optimization"
         166 ,  2.8380007E-03, "Dot product optimization"
         171 ,  3.0279979E-03, "Dot product optimization"
         176 ,  2.9559992E-03, "Dot product optimization"
         181 ,  3.3240020E-03, "Dot product optimization"
         186 ,  3.8180016E-03, "Dot product optimization"
         191 ,  4.8080012E-03, "Dot product optimization"
         196 ,  4.9939975E-03, "Dot product optimization"
         201 ,  5.5240020E-03, "Dot product optimization"
         206 ,  5.9700012E-03, "Dot product optimization"
         211 ,  6.4530000E-03, "Dot product optimization"
         216 ,  6.9119930E-03, "Dot product optimization"
         221 ,  7.5189993E-03, "Dot product optimization"
         226 ,  8.1970021E-03, "Dot product optimization"
         231 ,  8.5700005E-03, "Dot product optimization"
         236 ,  8.9580044E-03, "Dot product optimization"
         241 ,  1.0519996E-02, "Dot product optimization"
         246 ,  9.9990070E-03, "Dot product optimization"
         251 ,  1.1234999E-02, "Dot product optimization"
         256 ,  4.3715000E-02, "Dot product optimization"
         261 ,  1.2217999E-02, "Dot product optimization"
         266 ,  1.2940988E-02, "Dot product optimization"
         271 ,  1.5636995E-02, "Dot product optimization"
         276 ,  1.4724001E-02, "Dot product optimization"
         281 ,  1.4881998E-02, "Dot product optimization"
         286 ,  1.5469998E-02, "Dot product optimization"
         291 ,  1.6896993E-02, "Dot product optimization"
         296 ,  1.7746985E-02, "Dot product optimization"
         301 ,  1.8655002E-02, "Dot product optimization"
         306 ,  1.9928008E-02, "Dot product optimization"
         311 ,  2.0125002E-02, "Dot product optimization"
         316 ,  2.1100998E-02, "Dot product optimization"
         321 ,  2.2010028E-02, "Dot product optimization"
         326 ,  2.4300009E-02, "Dot product optimization"
         331 ,  2.4831980E-02, "Dot product optimization"
         336 ,  4.2734981E-02, "Dot product optimization"
         341 ,  3.2628953E-02, "Dot product optimization"
         346 ,  2.7864993E-02, "Dot product optimization"
         351 ,  3.0605018E-02, "Dot product optimization"
         356 ,  3.5224974E-02, "Dot product optimization"
         361 ,  3.1645000E-02, "Dot product optimization"
         366 ,  3.6841035E-02, "Dot product optimization"
         371 ,  3.5077035E-02, "Dot product optimization"
         376 ,  3.5140991E-02, "Dot product optimization"
         381 ,  3.9586008E-02, "Dot product optimization"
         386 ,  4.1012049E-02, "Dot product optimization"
         391 ,  4.0400982E-02, "Dot product optimization"
         396 ,  4.5167983E-02, "Dot product optimization"
         401 ,  4.3649018E-02, "Dot product optimization"
         406 ,  5.6375027E-02, "Dot product optimization"
         411 ,  4.7276020E-02, "Dot product optimization"
         416 ,  8.4120989E-02, "Dot product optimization"
         421 ,  5.7739019E-02, "Dot product optimization"
         426 ,  5.6265950E-02, "Dot product optimization"
         431 ,  6.4550996E-02, "Dot product optimization"
         436 ,  6.5061927E-02, "Dot product optimization"
         441 ,  6.4576030E-02, "Dot product optimization"
         446 ,  7.4542999E-02, "Dot product optimization"
         451 ,  7.4498057E-02, "Dot product optimization"
         456 ,  7.2363019E-02, "Dot product optimization"
         461 ,  7.6351047E-02, "Dot product optimization"
         466 ,  8.0455065E-02, "Dot product optimization"
         471 ,  9.4024897E-02, "Dot product optimization"
         476 ,  9.8325968E-02, "Dot product optimization"
         481 ,  0.1009181    , "Dot product optimization"
         486 ,  0.1062520    , "Dot product optimization"
         491 ,  0.1145689    , "Dot product optimization"
         496 ,  0.1430862    , "Dot product optimization"
         501 ,  0.1860461    , "Dot product optimization"
         506 ,  0.1822820    , "Dot product optimization"
         511 ,  0.1763659    , "Dot product optimization"
         516 ,  0.2072110    , "Dot product optimization"
         521 ,  0.1721969    , "Dot product optimization"
         526 ,  0.1670880    , "Dot product optimization"
         531 ,  0.1735120    , "Dot product optimization"
         536 ,  0.1767840    , "Dot product optimization"
         541 ,  0.1806540    , "Dot product optimization"
         546 ,  0.1745362    , "Dot product optimization"
         551 ,  0.1846852    , "Dot product optimization"
         556 ,  0.1927691    , "Dot product optimization"
         561 ,  0.2024560    , "Dot product optimization"
         566 ,  0.2088189    , "Dot product optimization"
         571 ,  0.2161388    , "Dot product optimization"
         576 ,  0.3834190    , "Dot product optimization"
         581 ,  0.2360921    , "Dot product optimization"
         586 ,  0.2340536    , "Dot product optimization"
         591 ,  0.2273979    , "Dot product optimization"
         596 ,  0.2511101    , "Dot product optimization"
         601 ,  0.2494693    , "Dot product optimization"
         606 ,  0.2573881    , "Dot product optimization"
         611 ,  0.2677827    , "Dot product optimization"
         616 ,  0.2919049    , "Dot product optimization"
         621 ,  0.2802162    , "Dot product optimization"
         626 ,  0.2713909    , "Dot product optimization"
         631 ,  0.3009462    , "Dot product optimization"
         636 ,  0.3034801    , "Dot product optimization"
         641 ,  0.3164005    , "Dot product optimization"
         646 ,  0.3204422    , "Dot product optimization"
         651 ,  0.3218117    , "Dot product optimization"
         656 ,  0.3397484    , "Dot product optimization"
         661 ,  0.3420782    , "Dot product optimization"
         666 ,  0.3481693    , "Dot product optimization"
         671 ,  0.3574572    , "Dot product optimization"
         676 ,  0.3700457    , "Dot product optimization"
         681 ,  0.3748932    , "Dot product optimization"
         686 ,  0.3803701    , "Dot product optimization"
         691 ,  0.3958321    , "Dot product optimization"
         696 ,  0.4027109    , "Dot product optimization"
         701 ,  0.4096966    , "Dot product optimization"
         706 ,  0.4197378    , "Dot product optimization"
         711 ,  0.4262314    , "Dot product optimization"
         716 ,  0.4475241    , "Dot product optimization"
         721 ,  0.4477348    , "Dot product optimization"
         726 ,  0.4660826    , "Dot product optimization"
         731 ,  0.4758158    , "Dot product optimization"
         736 ,  0.5641823    , "Dot product optimization"
         741 ,  0.4925003    , "Dot product optimization"
         746 ,  0.5044098    , "Dot product optimization"
         751 ,  0.4932060    , "Dot product optimization"
         756 ,  0.5424786    , "Dot product optimization"
         761 ,  0.5390377    , "Dot product optimization"
         766 ,  0.5607986    , "Dot product optimization"
         771 ,  0.5669136    , "Dot product optimization"
         776 ,  0.5680542    , "Dot product optimization"
         781 ,  0.5804996    , "Dot product optimization"
         786 ,  0.5996037    , "Dot product optimization"
         791 ,  0.6082497    , "Dot product optimization"
         796 ,  0.6297207    , "Dot product optimization"
         801 ,  0.6421375    , "Dot product optimization"
         806 ,  0.6705933    , "Dot product optimization"
         811 ,  0.6690159    , "Dot product optimization"
         816 ,  0.7501202    , "Dot product optimization"
         821 ,  0.7817574    , "Dot product optimization"
         826 ,  0.8209553    , "Dot product optimization"
         831 ,  0.9739895    , "Dot product optimization"
         836 ,  0.8682041    , "Dot product optimization"
         841 ,  0.8331642    , "Dot product optimization"
         846 ,  0.7590885    , "Dot product optimization"
         851 ,  0.7680702    , "Dot product optimization"
         856 ,  0.7764282    , "Dot product optimization"
         861 ,  0.8142281    , "Dot product optimization"
         866 ,  0.8059006    , "Dot product optimization"
         871 ,  0.8166313    , "Dot product optimization"
         876 ,  0.9703598    , "Dot product optimization"
         881 ,  0.8629532    , "Dot product optimization"
         886 ,  0.8622742    , "Dot product optimization"
         891 ,  0.8672867    , "Dot product optimization"
         896 ,   1.850613    , "Dot product optimization"
         901 ,  0.9223061    , "Dot product optimization"
         906 ,  0.9998665    , "Dot product optimization"
         911 ,   1.074520    , "Dot product optimization"
         916 ,  0.9709587    , "Dot product optimization"
         921 ,   1.127068    , "Dot product optimization"
         926 ,   1.010044    , "Dot product optimization"
         931 ,   1.055080    , "Dot product optimization"
         936 ,   1.036385    , "Dot product optimization"
         941 ,   1.032963    , "Dot product optimization"
         946 ,   1.062237    , "Dot product optimization"
         951 ,   1.087482    , "Dot product optimization"
         956 ,   1.110043    , "Dot product optimization"
         961 ,   1.231121    , "Dot product optimization"
         966 ,   1.274216    , "Dot product optimization"
         971 ,   1.260818    , "Dot product optimization"
         976 ,   1.375916    , "Dot product optimization"
         981 ,   1.405556    , "Dot product optimization"
         986 ,   1.286068    , "Dot product optimization"
         991 ,   1.496532    , "Dot product optimization"
         996 ,   1.836533    , "Dot product optimization"
        1001 ,   1.669403    , "Dot product optimization"
        1006 ,   1.988266    , "Dot product optimization"
        1011 ,   1.949097    , "Dot product optimization"
        1016 ,   1.987152    , "Dot product optimization"
        1021 ,   1.882431    , "Dot product optimization"
        1026 ,   1.932327    , "Dot product optimization"
        1031 ,   1.763962    , "Dot product optimization"
        1036 ,   1.938881    , "Dot product optimization"
        1041 ,   1.887901    , "Dot product optimization"
        1046 ,   1.929962    , "Dot product optimization"
        1051 ,   1.951637    , "Dot product optimization"
        1056 ,   3.054886    , "Dot product optimization"
        1061 ,   1.984329    , "Dot product optimization"
        1066 ,   2.001930    , "Dot product optimization"
        1071 ,   2.046371    , "Dot product optimization"
        1076 ,   2.062462    , "Dot product optimization"
        1081 ,   2.158722    , "Dot product optimization"
        1086 ,   2.124283    , "Dot product optimization"
        1091 ,   2.106842    , "Dot product optimization"
        1096 ,   2.101204    , "Dot product optimization"
        1101 ,   2.216980    , "Dot product optimization"
        1106 ,   2.258408    , "Dot product optimization"
        1111 ,   2.241074    , "Dot product optimization"
        1116 ,   2.191162    , "Dot product optimization"
        1121 ,   2.668854    , "Dot product optimization"
        1126 ,   2.311394    , "Dot product optimization"
        1131 ,   2.246811    , "Dot product optimization"
        1136 ,   2.354591    , "Dot product optimization"
        1141 ,   2.424706    , "Dot product optimization"
        1146 ,   2.419029    , "Dot product optimization"
        1151 ,   2.522766    , "Dot product optimization"
        1156 ,   2.502274    , "Dot product optimization"
        1161 ,   2.565567    , "Dot product optimization"
        1166 ,   2.673325    , "Dot product optimization"
        1171 ,   2.617493    , "Dot product optimization"
        1176 ,   2.622192    , "Dot product optimization"
        1181 ,   2.630280    , "Dot product optimization"
        1186 ,   2.612015    , "Dot product optimization"
        1191 ,   2.663559    , "Dot product optimization"
        1196 ,   2.741821    , "Dot product optimization"
        1201 ,   2.746445    , "Dot product optimization"
        1206 ,   2.756348    , "Dot product optimization"
        1211 ,   2.916534    , "Dot product optimization"
        1216 ,   5.783676    , "Dot product optimization"
        1221 ,   2.998489    , "Dot product optimization"
        1226 ,   2.945511    , "Dot product optimization"
        1231 ,   2.998398    , "Dot product optimization"
        1236 ,   2.953384    , "Dot product optimization"
        1241 ,   3.083984    , "Dot product optimization"
        1246 ,   3.095596    , "Dot product optimization"
        1251 ,   3.157593    , "Dot product optimization"
        1256 ,   3.171783    , "Dot product optimization"
        1261 ,   3.208374    , "Dot product optimization"
